iter,ph_model,nhid,ctxt,layers,ptdecay,ftdecay,cv_acc,tr_acc
0,mono,500,6,6,0.001,0.001,62.51,73.44
1,mono,500,6,6,0.001,0.001,66.01,76.59
2,mono,500,6,6,0.001,0.001,67.44,78.33
3,mono,500,6,6,0.001,0.001,68.02,79.41
4,mono,500,6,6,0.001,0.001,67.84,79.04
5,mono,500,6,6,0.001,0.001,68.08,79.63
6,mono,500,6,6,0.001,0.001,68.31,77.82
7,mono,500,6,6,0.001,0.001,68.24,79.89
8,mono,500,6,6,0.001,0.001,68.31,80.53
9,mono,500,6,6,0.001,0.001,68.20,80.51
0,xwtri,500,6,6,0.001,0.001,49.90,62.31
1,xwtri,500,6,6,0.001,0.001,53.54,66.95
2,xwtri,500,6,6,0.001,0.001,54.49,68.50
3,xwtri,500,6,6,0.001,0.001,55.31,69.32
4,xwtri,500,6,6,0.001,0.001,55.44,69.53
5,xwtri,500,6,6,0.001,0.001,55.57,70.73
6,xwtri,500,6,6,0.001,0.001,55.54,69.64
7,xwtri,500,6,6,0.001,0.001,55.66,68.61
8,xwtri,500,6,6,0.001,0.001,55.62,72.29
9,xwtri,500,6,6,0.001,0.001,55.97,73.97
0,xwbil,500,6,6,0.001,0.001,57.13,67.95
1,xwbil,500,6,6,0.001,0.001,60.28,72.67
2,xwbil,500,6,6,0.001,0.001,61.38,73.59
3,xwbil,500,6,6,0.001,0.001,61.62,77.40
4,xwbil,500,6,6,0.001,0.001,61.39,74.86
5,xwbil,500,6,6,0.001,0.001,61.40,76.06
6,xwbil,500,6,6,0.001,0.001,61.82,76.02
7,xwbil,500,6,6,0.001,0.001,61.28,75.53
8,xwbil,500,6,6,0.001,0.001,61.09,75.66
9,xwbil,500,6,6,0.001,0.001,61.72,74.86
0,xwbir,500,6,6,0.001,0.001,55.68,66.76
1,xwbir,500,6,6,0.001,0.001,59.31,72.02
2,xwbir,500,6,6,0.001,0.001,60.33,70.66
3,xwbir,500,6,6,0.001,0.001,60.55,72.94
4,xwbir,500,6,6,0.001,0.001,60.90,72.47
5,xwbir,500,6,6,0.001,0.001,60.73,75.56
6,xwbir,500,6,6,0.001,0.001,61.31,74.34
7,xwbir,500,6,6,0.001,0.001,61.19,75.92
8,xwbir,500,6,6,0.001,0.001,61.21,74.71
9,xwbir,500,6,6,0.001,0.001,61.40,72.73
