ph_model,nhid,layers,ptdecay,ftdecay,ins_pl,decode_acc
xwbir,500,1,0.001,0.0001,-2.0,69.47
xwbir,500,1,0.001,0.001,-2.0,69.52
xwbir,500,1,0.001,0.01,-2.0,69.69
xwbir,500,1,0.001,0.1,-2.0,68.27
xwbir,500,1,0.001,0.0005,-2.0,69.52
xwbir,500,1,0.001,0.005,-2.0,69.74
xwbir,500,1,0.001,0.05,-2.0,68.98
xwbir,500,3,0.001,0.0001,-2.0,70.80
xwbir,500,3,0.001,0.001,-2.0,71.00
xwbir,500,3,0.001,0.01,-2.0,70.97
xwbir,500,3,0.001,0.1,-2.0,69.10
xwbir,500,3,0.001,0.0005,-2.0,70.76
xwbir,500,3,0.001,0.005,-2.0,70.83
xwbir,500,3,0.001,0.05,-2.0,70.31
xwbir,500,6,0.001,0.0001,-2.0,71.48
xwbir,500,6,0.001,0.001,-2.0,71.59
xwbir,500,6,0.001,0.01,-2.0,71.82
xwbir,500,6,0.001,0.1,-2.0,69.89
xwbir,500,6,0.001,0.0005,-2.0,71.47
xwbir,500,6,0.001,0.005,-2.0,71.51
xwbir,500,6,0.001,0.05,-2.0,70.26
xwbir,500,8,0.001,0.0001,-2.0,71.91
xwbir,500,8,0.001,0.001,-2.0,71.78
xwbir,500,8,0.001,0.01,-2.0,71.71
xwbir,500,8,0.001,0.1,-2.0,70.09
xwbir,500,8,0.001,0.0005,-2.0,71.84
xwbir,500,8,0.001,0.005,-2.0,71.84
xwbir,500,8,0.001,0.05,-2.0,71.03
